Student_ID,Gender,Branch,CGPA,SSC_Marks,HSC_Marks,Internships,Projects,Certifications,Backlogs,Aptitude_Score,Technical_Skill,Coding_Skill,Communication_Skill,Soft_Skill,Extracurricular_Score,Leadership_Score,Placement_Training,Workshops_Attended,Mock_Interview_Score,LinkedIn_GitHub_Activity,Employability_Score,Placed,Package_LPA
STU00001,Female,IT,7.91,93.23,72.42,0,5,2,1,57.79,5.15,5.81,5.41,5.33,6.03,0.79,Yes,0,3.68,5.72,49.95,0,0.0
STU00002,Male,EEE,5.65,100.0,79.34,0,3,0,0,51.2,7.71,8.05,5.12,4.74,5.14,3.83,No,0,5.49,2.09,42.82,0,0.0
STU00003,Male,ECE,8.01,79.71,73.73,1,2,3,0,56.58,6.62,4.5,6.75,6.07,4.01,6.35,Yes,3,7.36,7.14,50.09,1,7.32
STU00004,Male,ECE,7.0,73.9,87.98,2,5,2,0,45.83,7.75,8.71,8.74,7.64,10.0,2.98,Yes,0,2.95,7.4,67.44,1,9.08
STU00005,Female,IT,6.31,72.98,85.07,2,1,4,0,67.92,4.74,4.34,5.53,4.6,6.15,5.57,Yes,1,2.95,4.03,55.97,0,0.0
STU00006,Male,IT,6.32,68.57,90.44,4,6,1,0,42.69,4.21,4.34,5.46,5.2,5.51,6.05,Yes,0,5.03,5.78,60.54,1,10.33
STU00007,Female,CSE,8.03,92.03,59.58,2,3,0,2,44.17,4.98,5.1,5.34,4.43,5.65,2.66,No,1,6.35,3.2,44.21,1,7.97
STU00008,Female,ECE,7.81,91.64,100.0,0,1,4,3,36.08,8.14,9.7,4.73,5.86,8.18,5.5,Yes,0,7.03,5.4,33.76,0,0.0
STU00009,Male,ECE,6.13,85.87,87.74,2,5,2,1,47.23,5.56,4.65,4.69,4.69,5.33,5.75,No,2,5.52,8.34,45.5,0,0.0
STU00010,Male,EEE,10.0,78.42,73.49,0,6,5,3,59.77,7.33,6.79,7.52,7.6,4.75,2.96,No,4,4.58,6.45,50.07,0,0.0
STU00011,Female,ECE,7.26,66.57,78.94,2,4,1,0,72.09,6.93,7.54,7.08,9.62,6.76,7.5,No,2,4.93,6.75,57.2,1,8.01
STU00012,Male,CSE,5.23,81.57,70.44,0,4,1,0,63.44,8.81,8.96,7.13,5.55,10.0,9.06,No,2,5.53,6.02,61.09,1,9.32
STU00013,Male,IT,7.76,86.66,61.8,0,2,2,1,55.98,3.73,4.83,9.81,8.73,2.16,3.93,Yes,2,6.3,6.78,45.33,0,0.0
STU00014,Male,IT,7.13,58.05,60.7,1,3,0,0,63.05,10.0,10.0,7.75,6.71,5.63,6.42,No,1,5.73,3.59,69.86,1,10.4
STU00015,Female,CIVIL,7.85,80.81,68.15,0,2,4,0,51.39,7.53,7.96,5.02,6.23,6.18,6.79,Yes,0,6.63,6.72,45.13,1,5.99
STU00016,Male,EEE,5.86,93.53,70.17,2,1,4,0,52.58,7.71,7.42,7.65,6.61,4.15,9.21,Yes,0,7.42,7.77,48.11,0,0.0
STU00017,Female,EEE,7.19,69.03,75.83,1,5,1,0,49.81,6.74,6.07,4.8,5.6,6.04,3.88,Yes,3,4.65,5.53,44.52,0,0.0
STU00018,Female,CIVIL,5.65,71.36,89.96,0,4,2,0,56.56,5.99,5.17,6.12,7.08,7.2,6.08,Yes,0,5.66,4.21,40.71,1,6.8
STU00019,Male,CSE,7.21,78.25,80.48,2,4,2,1,77.7,6.33,8.96,4.83,4.74,4.18,0.33,No,0,4.55,5.79,68.06,1,10.67
STU00020,Female,CSE,8.27,85.42,91.24,1,5,4,0,60.67,5.49,5.85,4.33,5.44,5.31,5.61,Yes,1,6.0,4.75,66.37,1,10.18
STU00021,Female,EEE,7.25,73.5,81.85,1,1,5,1,74.81,3.98,2.13,8.37,7.45,3.85,8.41,Yes,3,5.71,9.74,49.29,1,6.82
STU00022,Female,CSE,6.9,92.89,84.66,0,1,0,0,30.84,8.6,9.66,5.97,6.14,0.72,3.93,No,3,7.9,4.97,48.73,0,0.0
STU00023,Female,IT,4.93,77.11,60.65,0,1,0,0,74.05,6.66,5.53,5.33,4.82,5.36,7.1,No,0,4.55,3.18,41.38,0,0.0
STU00024,Male,IT,6.06,76.98,75.46,2,3,0,2,77.32,4.88,4.0,7.19,6.15,2.8,10.0,Yes,1,4.94,6.96,45.74,1,10.16
STU00025,Male,CSE,8.43,61.94,77.24,0,2,0,0,50.36,4.05,6.08,7.7,6.84,8.76,5.17,No,2,3.95,2.61,48.14,0,0.0
STU00026,Female,IT,5.09,87.41,75.3,0,1,0,0,64.29,5.31,4.82,4.79,4.96,0.0,6.51,No,0,6.2,4.8,37.96,0,0.0
STU00027,Female,CSE,7.5,78.99,83.27,1,2,3,0,48.26,2.75,0.8,6.28,6.35,3.51,6.4,Yes,1,2.51,3.5,50.27,0,0.0
STU00028,Male,CSE,6.54,85.6,87.17,1,3,1,0,75.89,6.31,6.41,7.03,7.78,5.24,5.25,No,0,4.93,4.27,60.11,1,10.23
STU00029,Female,IT,8.52,73.92,52.58,1,2,3,0,43.85,6.59,6.33,7.61,5.04,6.02,6.7,Yes,4,2.84,7.63,61.58,1,9.49
STU00030,Female,ECE,6.66,82.04,62.99,2,0,2,1,47.29,5.37,6.37,8.39,6.84,4.56,3.78,No,2,7.99,7.32,36.93,0,0.0
STU00031,Female,CSE,7.51,60.21,91.46,1,6,0,1,100.0,6.23,6.36,7.43,7.1,5.99,3.26,No,2,6.35,8.66,59.91,0,0.0
STU00032,Male,CIVIL,9.99,83.24,68.53,1,4,0,0,59.6,7.53,4.75,5.81,6.41,8.29,3.2,Yes,0,3.47,4.66,47.03,0,0.0
STU00033,Male,MECH,5.75,96.49,87.39,0,3,0,3,57.16,4.01,7.1,6.3,6.16,5.45,5.44,Yes,0,5.24,4.92,21.59,0,0.0
STU00034,Female,CSE,8.73,51.41,52.14,1,1,0,2,39.67,5.73,6.36,7.62,5.75,4.7,4.85,Yes,2,5.34,5.07,42.93,0,0.0
STU00035,Male,CSE,6.4,72.75,80.38,2,2,0,0,74.8,6.8,6.37,8.17,6.22,6.86,6.3,Yes,0,4.94,5.75,58.17,1,8.69
STU00036,Female,IT,6.3,85.56,59.46,1,3,1,0,79.49,5.94,5.54,8.49,8.97,6.98,3.63,No,4,4.75,2.04,58.11,1,9.55
STU00037,Male,CSE,6.12,88.29,80.2,0,0,0,3,66.61,7.77,9.77,7.92,5.49,2.68,3.63,Yes,2,5.55,5.43,35.9,0,0.0
STU00038,Male,IT,8.68,69.16,81.31,1,3,5,1,30.44,7.09,5.27,6.19,5.57,1.78,7.17,No,0,5.82,4.23,60.14,1,9.58
STU00039,Female,CSE,7.9,87.73,81.84,1,1,4,0,33.74,5.87,6.61,6.5,5.18,6.34,6.34,No,2,7.0,6.06,53.77,0,0.0
STU00040,Female,CIVIL,5.37,86.18,76.47,0,4,1,3,82.32,5.86,5.3,7.71,5.73,6.6,2.71,No,0,7.8,5.95,18.87,0,0.0
STU00041,Female,IT,7.49,86.9,75.91,3,4,5,0,81.18,5.07,6.76,10.0,7.71,4.52,8.2,Yes,2,4.74,4.35,73.35,1,10.25
STU00042,Male,CSE,5.07,65.93,63.22,3,4,0,0,74.29,10.0,9.2,8.18,8.39,2.05,5.16,Yes,0,6.5,3.57,72.0,0,0.0
STU00043,Female,MECH,7.02,92.21,68.72,2,1,3,0,65.65,3.27,5.13,9.25,7.14,4.65,5.63,No,1,6.1,4.59,40.33,0,0.0
STU00044,Female,CSE,6.28,77.92,82.64,0,5,2,0,42.91,8.17,8.58,8.45,6.32,1.89,6.02,No,2,7.18,5.97,59.91,0,0.0
STU00045,Female,ECE,7.99,91.82,82.14,0,5,4,0,58.99,6.26,7.71,4.81,5.7,4.63,5.06,Yes,0,7.8,5.44,56.91,0,0.0
STU00046,Female,CSE,8.84,80.14,77.93,1,6,1,1,54.78,6.32,6.81,5.88,5.62,4.7,5.38,No,1,4.64,5.29,59.4,1,9.23
STU00047,Male,CSE,8.92,77.34,68.89,0,6,1,0,95.86,6.79,6.19,4.46,5.8,6.04,3.76,No,0,6.67,4.77,69.8,1,9.84
STU00048,Female,CSE,8.19,75.93,67.18,0,3,1,2,49.96,6.91,6.88,6.66,6.15,7.06,6.59,No,2,3.8,5.74,50.49,0,0.0
STU00049,Male,CSE,7.74,71.24,94.81,0,3,0,1,77.13,4.83,4.29,2.99,4.13,0.17,1.52,No,3,6.87,2.78,41.36,0,0.0
STU00050,Male,CIVIL,9.84,77.77,80.77,0,2,2,0,94.07,5.52,5.41,5.9,5.36,5.93,2.66,No,3,4.61,3.98,43.53,0,0.0
STU00051,Female,CSE,6.32,78.6,67.88,2,5,3,2,80.89,5.04,6.62,6.54,7.93,3.98,8.82,Yes,0,5.86,3.5,60.79,0,0.0
STU00052,Female,CSE,6.07,72.71,81.81,1,3,3,0,82.33,3.97,4.65,5.35,5.84,7.9,4.76,No,2,2.14,2.93,49.84,1,9.89
STU00053,Female,IT,7.01,86.84,82.18,3,1,2,1,33.62,4.87,5.35,7.04,6.73,4.29,3.52,No,0,5.45,7.7,51.98,0,0.0
STU00054,Male,ECE,6.79,66.44,78.51,1,6,1,1,81.94,4.73,2.86,5.74,4.19,6.06,4.43,Yes,2,7.72,3.07,49.92,0,0.0
STU00055,Female,CSE,6.85,98.77,79.2,1,5,1,0,69.74,5.87,5.83,7.44,6.76,7.11,4.82,Yes,1,7.15,5.8,67.71,1,8.56
STU00056,Male,ECE,6.17,84.44,78.04,1,5,0,1,50.29,5.94,8.35,7.84,7.16,4.51,5.15,No,2,3.56,6.54,42.8,0,0.0
STU00057,Female,CSE,8.99,77.36,78.62,3,4,2,1,57.61,7.74,9.16,4.11,5.53,7.04,4.35,No,0,7.98,4.6,68.87,1,9.63
STU00058,Male,ECE,5.39,62.47,71.66,1,1,0,1,81.61,8.76,6.06,5.04,5.57,7.98,4.0,Yes,1,5.46,8.32,37.66,0,0.0
STU00059,Female,ECE,7.85,86.53,83.35,0,5,0,3,67.06,4.64,4.31,3.32,4.58,3.33,2.57,No,1,7.15,1.39,27.52,0,0.0
STU00060,Male,CSE,8.23,68.31,81.06,1,4,0,1,87.15,5.86,5.17,6.31,6.53,5.81,7.65,No,0,6.19,6.15,52.69,0,0.0
STU00061,Female,MECH,5.83,71.07,67.1,2,2,2,0,78.11,4.5,7.07,4.18,5.34,6.89,5.91,Yes,0,5.58,4.66,47.7,0,0.0
STU00062,Female,IT,9.63,81.14,74.98,0,4,1,0,79.57,7.99,8.35,5.29,4.35,6.74,2.58,Yes,0,4.22,3.25,65.53,1,10.24
STU00063,Female,MECH,5.49,58.06,79.11,1,3,5,1,92.11,6.75,5.91,6.11,6.5,5.67,6.19,Yes,1,3.84,4.74,41.34,0,0.0
STU00064,Female,IT,6.61,63.93,75.8,3,3,2,0,76.04,5.05,5.48,7.06,6.99,3.14,3.04,Yes,0,5.66,6.63,63.37,1,8.94
STU00065,Male,ECE,7.19,86.38,75.9,1,5,4,2,60.22,4.8,5.99,5.9,5.35,6.68,3.02,Yes,4,7.45,6.09,48.59,0,0.0
STU00066,Male,EEE,8.1,52.74,75.7,0,2,0,0,71.14,6.1,3.93,5.1,3.24,6.15,5.62,Yes,2,4.07,2.78,43.11,0,0.0
STU00067,Male,EEE,7.36,74.63,68.25,2,0,2,4,56.56,6.79,8.22,7.81,5.72,0.0,7.06,Yes,3,3.04,4.48,28.8,0,0.0
STU00068,Female,EEE,5.22,77.7,73.08,1,0,1,1,63.96,3.99,2.79,6.15,4.51,10.0,2.38,Yes,2,5.43,0.0,30.21,0,0.0
STU00069,Female,IT,6.46,88.4,68.34,0,5,0,3,94.87,9.88,9.16,7.46,6.97,8.36,8.44,Yes,1,6.33,3.44,62.72,1,9.93
STU00070,Female,CSE,6.32,90.99,64.21,2,3,0,0,38.1,6.51,5.66,4.87,6.14,6.84,7.88,Yes,0,6.01,2.87,58.06,1,10.16
STU00071,Female,CSE,6.49,87.28,75.63,1,4,3,1,66.83,5.34,4.34,4.42,3.64,10.0,2.57,No,0,5.1,4.36,52.85,0,0.0
STU00072,Female,EEE,8.1,86.38,66.05,1,5,3,2,43.3,6.91,7.3,6.25,6.05,5.31,6.79,Yes,1,6.54,6.14,49.11,0,0.0
STU00073,Male,ECE,7.82,60.39,83.29,2,4,0,0,68.86,5.62,4.6,5.21,6.08,9.17,5.87,No,0,7.65,3.6,52.98,1,7.78
STU00074,Female,CSE,5.61,66.94,70.0,3,6,1,0,47.23,7.06,7.47,3.31,5.82,9.2,3.35,Yes,2,7.6,3.68,66.56,1,9.69
STU00075,Male,ECE,8.9,98.06,97.68,2,4,1,2,83.75,4.53,4.52,5.91,5.59,7.03,7.1,No,1,3.44,4.55,46.42,0,0.0
STU00076,Female,CSE,5.15,79.9,81.34,1,3,3,0,82.65,5.45,6.89,2.91,3.45,6.27,1.9,Yes,0,3.39,3.79,59.27,1,9.73
STU00077,Male,CSE,7.04,83.14,69.14,1,3,0,0,61.5,9.19,10.0,5.42,5.23,6.53,2.8,No,2,6.04,4.77,59.02,1,9.72
STU00078,Male,CSE,6.96,74.96,92.25,2,0,2,0,63.83,3.96,1.85,4.45,5.43,5.69,6.55,Yes,1,5.67,7.03,47.4,1,8.94
STU00079,Male,CSE,5.82,82.66,74.61,1,2,0,0,48.78,4.54,4.78,8.15,6.26,5.64,5.94,Yes,2,6.75,3.1,49.8,0,0.0
STU00080,Male,IT,6.71,98.1,94.47,1,0,2,2,43.38,4.83,4.76,5.13,6.05,3.94,3.88,Yes,2,2.9,5.22,36.2,0,0.0
STU00081,Female,CIVIL,7.76,86.83,74.14,1,3,0,1,54.33,8.07,8.2,3.75,5.61,4.03,9.12,No,1,7.44,5.16,39.35,0,0.0
